"Notes"	"County"	"County Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Butler County, PA"	"42019"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"30-34 years"	"30-34"	"Male"	"M"	Suppressed	200	Suppressed
	"Butler County, PA"	"42019"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"35-39 years"	"35-39"	"Female"	"F"	0	167	Unreliable
	"Butler County, PA"	"42019"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"35-39 years"	"35-39"	"Male"	"M"	0	166	Unreliable
	"Butler County, PA"	"42019"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"40-44 years"	"40-44"	"Female"	"F"	0	139	Unreliable
	"Butler County, PA"	"42019"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"40-44 years"	"40-44"	"Male"	"M"	0	145	Unreliable
	"Butler County, PA"	"42019"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"45-49 years"	"45-49"	"Female"	"F"	Suppressed	85	Suppressed
	"Butler County, PA"	"42019"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"45-49 years"	"45-49"	"Male"	"M"	0	108	Unreliable
	"Butler County, PA"	"42019"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"50-54 years"	"50-54"	"Female"	"F"	0	80	Unreliable
	"Butler County, PA"	"42019"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"50-54 years"	"50-54"	"Male"	"M"	0	99	Unreliable
	"Butler County, PA"	"42019"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"55-59 years"	"55-59"	"Female"	"F"	Suppressed	73	Suppressed
	"Butler County, PA"	"42019"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"55-59 years"	"55-59"	"Male"	"M"	0	52	Unreliable
	"Butler County, PA"	"42019"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"60-64 years "	"60-64"	"Female"	"F"	Suppressed	37	Suppressed
	"Butler County, PA"	"42019"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"60-64 years "	"60-64"	"Male"	"M"	0	60	Unreliable
	"Cambria County, PA"	"42021"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"30-34 years"	"30-34"	"Female"	"F"	0	77	Unreliable
	"Cambria County, PA"	"42021"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"30-34 years"	"30-34"	"Male"	"M"	0	115	Unreliable
	"Cambria County, PA"	"42021"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"35-39 years"	"35-39"	"Female"	"F"	0	81	Unreliable
	"Cambria County, PA"	"42021"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"35-39 years"	"35-39"	"Male"	"M"	0	104	Unreliable
	"Cambria County, PA"	"42021"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"40-44 years"	"40-44"	"Female"	"F"	0	73	Unreliable
	"Cambria County, PA"	"42021"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"40-44 years"	"40-44"	"Male"	"M"	0	92	Unreliable
	"Cambria County, PA"	"42021"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"45-49 years"	"45-49"	"Female"	"F"	0	51	Unreliable
	"Cambria County, PA"	"42021"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"45-49 years"	"45-49"	"Male"	"M"	0	87	Unreliable
	"Cambria County, PA"	"42021"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"50-54 years"	"50-54"	"Female"	"F"	0	46	Unreliable
	"Cambria County, PA"	"42021"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"50-54 years"	"50-54"	"Male"	"M"	Suppressed	50	Suppressed
	"Cambria County, PA"	"42021"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"55-59 years"	"55-59"	"Female"	"F"	Suppressed	42	Suppressed
	"Cambria County, PA"	"42021"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"55-59 years"	"55-59"	"Male"	"M"	Suppressed	50	Suppressed
	"Cambria County, PA"	"42021"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"60-64 years "	"60-64"	"Female"	"F"	Suppressed	39	Suppressed
